SER_A,SER_C,SER_D,SER_E,SER_F,SER_G,SER_H,SER_I,SER_K,SER_L,SER_M,SER_N,SER_P,SER_Q,SER_R,SER_S,SER_T,SER_V,SER_W,SER_Y
0,0,0,0,-0.447,-0.314,0,-0.314,0,0,0,-0.314,-0.447,-0.447,-0.314,0,0,0,-0.314,0
-0.396,0,-0.239,-0.295,-0.206,-0.239,0,-0.075,-0.396,-0.319,-0.075,-0.169,-0.126,-0.268,-0.075,-0.268,-0.169,-0.239,-0.126,-0.169
-0.411,0,-0.332,-0.332,0,-0.332,-0.216,-0.216,0,-0.216,-0.216,0,-0.332,0,-0.411,-0.216,0,0,-0.216,0
0,0,-0.314,0,-0.314,-0.447,0,0,0,0,0,0,-0.314,-0.447,-0.511,0,0,0,-0.314,0
0,0,-0.168,-0.339,-0.394,-0.266,-0.168,-0.266,-0.394,-0.168,0,-0.168,-0.339,-0.168,-0.266,-0.266,0,-0.168,0,-0.168
-0.342,-0.342,0,0,-0.342,-0.342,0,0,-0.224,0,0,-0.224,0,-0.342,-0.224,0,-0.224,-0.342,-0.224,-0.342
-0.197,0,-0.197,-0.197,-0.12,-0.197,0,-0.306,0,-0.413,-0.197,-0.257,-0.197,-0.306,-0.413,-0.257,-0.257,-0.197,0,0
-0.24,0,-0.309,-0.15,-0.309,-0.24,0,-0.15,-0.24,-0.309,-0.15,-0.15,-0.363,-0.15,-0.24,-0.309,-0.15,-0.15,0,-0.309
-0.314,0,0,0,0,0,0,-0.314,0,-0.314,0,-0.314,-0.314,0,-0.314,0,0,-0.447,0,-0.511
-0.383,-0.197,-0.12,-0.257,-0.197,-0.197,0,-0.348,-0.257,-0.12,-0.197,-0.306,0,-0.257,-0.257,-0.306,-0.257,0,-0.12,-0.12
-0.339,0,-0.266,0,0,-0.437,-0.266,-0.168,-0.168,-0.394,0,-0.168,-0.168,0,-0.266,-0.339,-0.168,-0.168,-0.168,-0.168
0,0,0,-0.144,-0.232,-0.144,-0.352,0,-0.299,-0.431,-0.144,-0.144,-0.232,-0.232,-0.232,-0.352,-0.144,-0.396,0,-0.144
0,-0.24,-0.24,0,-0.24,-0.24,0,0,-0.24,-0.491,0,-0.442,-0.363,0,-0.363,0,-0.24,0,0,0
-0.26,0,-0.164,0,-0.164,-0.431,-0.26,0,-0.164,-0.388,0,-0.332,-0.164,0,-0.164,-0.388,-0.26,-0.164,-0.164,-0.164
-0.401,-0.401,0,-0.272,-0.272,-0.272,-0.272,-0.272,-0.272,0,0,0,-0.272,-0.272,0,0,0,0,-0.272,-0.272
-0.203,-0.314,-0.314,-0.203,0,-0.203,-0.314,0,-0.203,-0.314,0,-0.203,-0.203,-0.314,-0.203,-0.314,-0.203,-0.203,0,-0.203
0,0,0,0,-0.314,-0.314,0,-0.314,0,-0.314,0,0,-0.447,-0.447,-0.314,-0.314,0,0,-0.314,0
-0.285,0,0,-0.488,-0.285,-0.415,0,0,0,-0.285,0,-0.285,0,-0.415,0,-0.285,0,-0.285,0,0
0,0,-0.299,0,-0.299,0,0,-0.431,0,-0.299,0,-0.431,-0.431,0,-0.299,-0.299,0,-0.299,0,0
