,Eisenberg,y
Neg_2192,0.0292402538193032,0
Neg_605,0.0346366594537456,0
Neg_413,0.1774807271775732,0
Neg_1861,0.1281334108845819,0
Neg_342,0.5956339664921484,0
Neg_398,0.1252119071452831,0
Neg_96,0.0713948256395747,0
Neg_1924,0.2970660058919513,0
Neg_592,0.3537046721993885,0
Neg_1985,0.1966927669426184,0
Neg_1045,0.1644032047278136,0
Neg_2542,0.2573690336440138,0
Neg_2165,0.0822932230292084,0
Neg_1526,0.1385202295512641,0
Neg_2709,0.1034244091037321,0
Neg_2230,0.1326619541090844,0
Neg_2137,0.1527792767259275,0
Neg_2068,0.1469816719757893,0
Neg_2163,0.1621162052813334,0
Neg_2247,0.1467517814023843,0
Neg_529,0.0387545946329803,0
Neg_936,0.021752044677367,0
Neg_2418,0.0924529148343655,0
Neg_2487,0.1699581952279475,0
Neg_703,0.2118899367754426,0
Neg_1742,0.1453925762955004,0
Neg_305,0.0962879081967617,0
Neg_1078,0.1329751244119019,0
Neg_1672,0.08364310022751,0
Neg_2568,0.1860790225791602,0
Neg_1911,0.1732747763562394,0
Neg_2397,0.0819986411351926,0
Neg_992,0.0658897086994827,0
Neg_1161,0.1349475149669717,0
Neg_2581,0.1883121905574299,0
Neg_701,0.0942805637250322,0
Neg_464,0.1076633797904729,0
Neg_1692,0.262830255289115,0
Neg_774,0.2695373316420303,0
Neg_2620,0.0451879336417454,0
Neg_979,0.0144845090360656,0
Neg_2827,0.0774687108570346,0
Neg_2729,0.1738506925866611,0
Neg_2277,0.1582122221603562,0
Neg_1632,0.0735701159720136,0
Neg_2756,0.3945464822135468,0
Neg_1898,0.1163000931017161,0
Neg_1391,0.1601845257450775,0
Neg_1059,0.1053891418080076,0
Neg_1746,0.0984158418347625,0
Neg_1847,0.1201387216160529,0
Neg_1490,0.1190469131499741,0
Neg_450,0.4751476852328886,0
Neg_1448,0.1789718851627343,0
Neg_2410,0.1750553598578747,0
Neg_1301,0.0254756577434573,0
Neg_696,0.2053429059350228,0
Neg_2757,0.1813833861777193,0
Neg_815,0.1116610238746552,0
Neg_890,0.1016160988897256,0
Neg_2049,0.0955255203503645,0
Neg_634,0.0867715544618441,0
Neg_1241,0.1007940788022941,0
Neg_1265,0.1095871356502642,0
Neg_1145,0.0740652058753187,0
Neg_364,0.2535401143359259,0
Neg_2428,0.1109681470378972,0
