,Aliphatic_Index,y
Neg_299,56.25,0
Neg_2528,66.10169491525423,0
Neg_1387,53.40909090909091,0
Neg_13,105.6338028169014,0
Neg_586,64.0,0
Neg_1691,36.2,0
Neg_629,97.6190476190476,0
Neg_1089,112.56410256410255,0
Neg_2884,75.0,0
Neg_2610,86.47727272727272,0
Neg_470,77.87878787878788,0
Neg_1649,180.0,0
Neg_1177,75.48387096774194,0
Neg_2447,118.57142857142856,0
Neg_10,172.05882352941177,0
Neg_2623,78.0,0
Neg_265,90.0,0
Neg_273,78.0,0
Neg_2305,92.56410256410255,0
Neg_915,91.88405797101449,0
Neg_1945,82.09677419354838,0
Neg_961,81.05263157894736,0
Neg_2662,86.05263157894736,0
Neg_1146,85.0,0
Neg_1137,83.72093023255815,0
Neg_41,126.0,0
Neg_1496,97.67857142857144,0
Neg_2270,64.25531914893617,0
Neg_1721,85.61403508771929,0
Neg_2196,82.63888888888889,0
Neg_1988,118.25,0
Neg_2464,79.63636363636363,0
Neg_521,125.35714285714286,0
Neg_1062,72.72727272727272,0
Neg_899,57.77777777777777,0
Neg_374,63.73333333333333,0
Neg_2106,104.22535211267603,0
Neg_3,100.63829787234042,0
Neg_405,64.99999999999999,0
Neg_1873,62.4,0
Neg_2506,82.6923076923077,0
Neg_2777,67.56410256410255,0
Neg_762,82.10526315789473,0
Neg_401,124.54545454545456,0
Neg_1801,18.75,0
Neg_2863,65.0,0
Neg_2412,77.83783783783784,0
Neg_1094,83.25842696629212,0
Neg_1795,97.6190476190476,0
Neg_1144,0.0,0
Neg_1201,68.50746268656715,0
Neg_2435,60.38461538461539,0
Neg_252,99.66666666666666,0
Neg_2676,82.47058823529412,0
Neg_322,102.04545454545452,0
Neg_1525,73.18181818181819,0
Neg_1228,89.6,0
Neg_2042,43.38461538461539,0
Neg_2308,84.0,0
Neg_2157,63.84615384615385,0
Neg_2159,97.64705882352942,0
Neg_2734,101.36986301369862,0
Neg_1207,86.34615384615384,0
Neg_120,73.07692307692308,0
Neg_2631,116.88524590163934,0
