,Charge_density,Charge_phys,Charge_acid,y
peptide_nm_64,0.0006777795759831,0.0306066741504157,0.0535130110198298,0
peptide_nm_65,0.0015922804567895,0.1095640243736512,0.1227185030568153,0
peptide_nm_66,0.000714783752017,0.0668949660400962,0.0668949660400962,0
peptide_nm_67,-0.0003775242437208,0.071952342864349,0.071952342864349,0
peptide_nm_68,0.0005949602093217,0.2633814741970458,0.246317320162158,0
peptide_nm_69,0.001340260522551,0.0613581117783385,0.0303236290197178,0
peptide_nm_70,0.0007276226860796,0.1641346255020347,0.1641346255020347,0
peptide_nm_71,0.0008167683526864,0.0,0.0,0
peptide_nm_72,0.0005371337835586,0.1472391486821547,0.1687525180141873,0
peptide_nm_73,0.0014594067153449,0.0802523182544726,0.061336473610783,0
peptide_nm_74,0.0006420376184747,0.1165777775884254,0.1808634918741396,0
peptide_nm_75,0.0014993555778318,0.0867217455833587,0.0909090909090909,0
peptide_nm_76,-0.0004754929150133,0.0555555555555553,0.0555555555555553,0
peptide_nm_77,0.0008017140787832,0.0476772158408562,0.0091371037867515,0
peptide_nm_78,-0.0003764516728544,0.1686441018412697,0.1981337731360387,0
peptide_nm_79,0.001790852791357,0.1715091682484724,0.1715091682484724,0
peptide_nm_80,0.0011416079669662,0.0514238953252316,0.0514238953252316,0
peptide_nm_81,0.0001865976764072,0.0446465215277025,0.0625728266465603,0
peptide_nm_82,0.00066191200251,0.0709975270173305,0.0915053721612328,0
peptide_nm_83,0.0003867851350398,0.0685527502864664,0.0405608900745739,0
peptide_nm_84,0.0007864940854631,0.2283944529131924,0.2283944529131924,0
peptide_nm_85,-2.794656616549158e-05,0.1224526448271318,0.1224526448271318,0
peptide_nm_86,-0.0010117682010992,0.1497366759599926,0.1497366759599926,0
peptide_nm_87,0.0012889981250467,0.0281655813200599,0.0281655813200599,0
peptide_nm_88,6.500849850683606e-05,0.0991891279553025,0.1252855589053017,0
peptide_nm_89,0.001575947068391,0.0833333333333333,0.0833333333333333,0
peptide_nm_90,0.0007410050019695,0.1432486792438271,0.1432486792438271,0
peptide_nm_91,-0.000523204812231,0.0883083158040898,0.0883083158040898,0
peptide_nm_92,0.0014431084112329,0.2450818959894318,0.2450818959894318,0
peptide_nm_93,0.0008716385582154,0.0476190476190476,0.0476190476190476,0
peptide_nm_94,-0.0005572625698324,0.0389418607294453,0.0389418607294453,0
peptide_nm_95,8.035471455532939e-05,0.0972520311317788,0.1084926939680004,0
peptide_nm_96,0.0022193539134487,0.0505074839135465,0.0769230769230769,0
peptide_nm_97,0.0005748813029944,0.095987674327778,0.1017945166105576,0
peptide_nm_98,-0.0009134195394023,0.1045334682877545,0.0741699654966197,0
peptide_nm_99,-1.2863804470172051e-06,0.1094349204455682,0.1094349204455682,0
peptide_nm_100,-3.234780358413664e-06,0.0769230769230769,0.0769230769230769,0
peptide_nm_101,0.0012056731172289,0.0944911182523067,0.0944911182523067,0
peptide_nm_102,0.0003173826573728,0.0357142857142855,0.0357142857142855,0
peptide_nm_103,6.584431322279895e-05,0.0759659829066539,0.0988904014902367,0
peptide_nm_104,0.000387453735461,0.065870549774452,0.0994190655279964,0
peptide_nm_105,-0.0013628313686424,0.2044672979097787,0.1722852318209162,0
peptide_nm_106,0.0012687895722711,0.1855113712807175,0.1563145297106118,0
peptide_nm_107,0.0014231526110144,0.1782379972331433,0.1782379972331433,0
peptide_nm_108,0.0003338664844635,0.0664004790472127,0.0664004790472127,0
peptide_nm_109,-1.3561804533711255e-06,0.1024353859871347,0.1024353859871347,0
peptide_nm_110,0.0009404063949518,0.1094230836680232,0.1094230836680232,0
peptide_nm_111,0.0014302272337015,0.1210889710152877,0.1210889710152877,0
peptide_nm_112,0.0006874482265554,0.0924197022690372,0.0924197022690372,0
peptide_nm_113,-0.0,0.0504822423702216,0.0504822423702216,0
peptide_nm_114,0.0009066679429615,0.0837758907477986,0.0626895776423233,0
peptide_nm_115,0.000500930443092,0.0182787555438874,0.0182787555438874,0
peptide_nm_116,0.0013800277849105,0.0786246282211843,0.1178529912490736,0
peptide_nm_117,-0.0006183366396361,0.1268127973101184,0.1268127973101184,0
peptide_nm_118,0.0016309230191267,0.196092060616717,0.196092060616717,0
peptide_nm_119,0.0014791101625835,0.0289413629444883,0.0289413629444883,0
peptide_nm_120,0.0019372693726937,0.1012127998593489,0.1012127998593489,0
peptide_nm_121,0.0004810757549411,0.1094230836680231,0.1094230836680231,0
