,APAAC_Pc1.A,APAAC_Pc1.R,APAAC_Pc1.N,APAAC_Pc1.D,APAAC_Pc1.C,APAAC_Pc1.Q,APAAC_Pc1.E,APAAC_Pc1.G,APAAC_Pc1.H,APAAC_Pc1.I,APAAC_Pc1.L,APAAC_Pc1.K,APAAC_Pc1.M,APAAC_Pc1.F,APAAC_Pc1.P,APAAC_Pc1.S,APAAC_Pc1.T,APAAC_Pc1.W,APAAC_Pc1.Y,APAAC_Pc1.V,APAAC_Pc2.Hydrophobicity.1,APAAC_Pc2.Hydrophilicity.1,APAAC_Pc2.Hydrophobicity.2,APAAC_Pc2.Hydrophilicity.2,APAAC_Pc2.Hydrophobicity.3,APAAC_Pc2.Hydrophilicity.3,y
peptide_nm_27,0.0,0.0,0.0,2.075159680533352,0.0,1.0375798402666758,0.0,1.0375798402666758,0.0,2.075159680533352,0.0,2.075159680533352,0.0,1.0375798402666758,1.0375798402666758,2.075159680533352,2.075159680533352,0.0,0.0,0.0,-0.0120434777695013,-0.0106322208356018,-0.0256839900906743,-0.0120943307590988,0.0093131434538506,0.0135610357343499,0
peptide_nm_28,1.021839408372066,0.0,2.043678816744132,1.021839408372066,0.0,0.0,0.0,1.021839408372066,0.0,1.021839408372066,3.0655182251161985,2.043678816744132,1.021839408372066,0.0,1.021839408372066,2.043678816744132,0.0,0.0,0.0,3.0655182251161985,0.0032928889809266,-0.0013252089115398,-0.021804628423538,-0.0185779750016626,0.0092459157268371,0.0073295992569105,0
peptide_nm_29,0.8792673758930407,1.7585347517860814,0.8792673758930407,1.7585347517860814,0.0,0.8792673758930407,1.7585347517860814,0.0,0.0,0.8792673758930407,0.8792673758930407,3.517069503572163,0.0,0.0,0.0,0.8792673758930407,0.8792673758930407,0.0,0.8792673758930407,0.0,0.0399482539048618,0.0432018896189568,0.006688641106556,0.0129935256373939,-0.0001987735466492,0.01809908738584,0
peptide_nm_30,1.8918164693434776,1.8918164693434776,1.8918164693434776,0.9459082346717388,0.9459082346717388,0.0,0.0,1.8918164693434776,0.0,0.0,0.9459082346717388,0.0,0.0,0.9459082346717388,0.9459082346717388,0.0,1.8918164693434776,0.0,0.9459082346717388,0.0,0.0299530468615736,0.007396522314575,0.0108988800830032,0.0055309743316572,0.0036382235345564,-0.0033258817971046,0
peptide_nm_31,0.9808841528924792,0.9808841528924792,0.0,2.942652458677438,0.9808841528924792,0.0,0.0,3.923536611569917,0.0,3.923536611569917,1.9617683057849584,3.923536611569917,0.0,1.9617683057849584,2.942652458677438,2.942652458677438,2.942652458677438,0.0,0.9808841528924792,1.9617683057849584,0.0014266041078266,0.0049946222987059,0.005457670436669,0.0082434858425471,-0.0009631679276004,-4.336765062780788e-05,0
peptide_nm_32,1.0320763142198794,0.0,2.064152628439759,0.0,1.0320763142198794,0.0,1.0320763142198794,2.064152628439759,0.0,0.0,1.0320763142198794,1.0320763142198794,0.0,0.0,1.0320763142198794,0.0,0.0,0.0,1.0320763142198794,1.0320763142198794,0.0011847080073082,0.0011177333439045,-0.0085081598910172,-0.0117638278653634,-0.0035577469821916,-0.0105490208325198,0
peptide_nm_33,4.296085783361599,1.0740214458403998,0.0,1.0740214458403998,0.0,1.0740214458403998,1.0740214458403998,0.0,0.0,1.0740214458403998,2.1480428916808,1.0740214458403998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0740214458403998,0.016409336472788,0.003420170386964,-0.0270364671252418,-0.0256215048402401,-0.0279643483123498,-0.0132286324223201,0
peptide_nm_34,0.0,0.0,0.0,0.9984585772795088,0.0,0.0,0.0,0.0,0.0,0.0,0.9984585772795088,0.0,0.0,0.0,0.0,0.0,2.995375731838527,0.0,0.0,1.9969171545590176,0.0094090379529922,0.0038181229149884,0.0011345522761719,-0.0081644764068531,0.0016074576387375,-0.006263271655546,0
peptide_nm_35,2.0041201063040748,1.0020600531520374,0.0,4.0082402126081496,1.0020600531520374,0.0,0.0,1.0020600531520374,0.0,0.0,1.0020600531520374,1.0020600531520374,0.0,0.0,1.0020600531520374,1.0020600531520374,2.0041201063040748,0.0,1.0020600531520374,0.0,-0.0077186529152897,0.0037614631852267,0.0015685949359103,0.0143660110535368,-0.0089024850948068,-0.0051349843166147,0
peptide_nm_36,0.0,1.052373310109865,1.052373310109865,1.052373310109865,0.0,0.0,2.10474662021973,0.0,0.0,2.10474662021973,0.0,0.0,0.0,1.052373310109865,0.0,3.1571199303295945,1.052373310109865,0.0,0.0,0.0,-0.0222100945544891,-0.0234789960694978,0.0177521569566644,0.0038429845159424,-0.0259715280290929,-0.0023078329293918,0
